Date : 2026-07-30 22:38:47
Directory : d:\SocialNetworkApp\SocialNetworkApp\src
Total : 774 files,  109579 codes, 2194 comments, 13326 blanks, all 125099 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C#             |        551 |     36,894 |        624 |     10,234 |     47,752 |
| JSON           |         47 |     31,552 |          6 |         12 |     31,570 |
| JavaScript JSX |         76 |     22,334 |        950 |      2,207 |     25,491 |
| log            |          3 |      9,902 |          0 |         19 |      9,921 |
| JavaScript     |         52 |      4,616 |        505 |        560 |      5,681 |
| ASP.NET Razor  |         11 |      2,156 |         67 |        137 |      2,360 |
| PostCSS        |          3 |        915 |         41 |         70 |      1,026 |
| XML            |         17 |        805 |          0 |         28 |        833 |
| Properties     |          8 |        199 |          0 |         19 |        218 |
| Markdown       |          3 |        185 |          0 |         36 |        221 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Dotenv         |          1 |          5 |          0 |          0 |          5 |
| HTTP           |          1 |          3 |          1 |          3 |          7 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        774 |    109,579 |      2,194 |     13,326 |    125,099 |
| . (Files)                                                                                                                                                          |          4 |     10,055 |          0 |         46 |     10,101 |
| Application                                                                                                                                                        |        334 |     12,816 |        126 |      1,755 |     14,697 |
| Application (Files)                                                                                                                                                |          2 |         41 |          0 |          8 |         49 |
| Application\Abstractions                                                                                                                                           |         30 |        443 |         22 |         76 |        541 |
| Application\Abstractions (Files)                                                                                                                                   |          6 |         58 |          0 |          9 |         67 |
| Application\Abstractions\Messaging                                                                                                                                 |          5 |         52 |          0 |         11 |         63 |
| Application\Abstractions\Repositories                                                                                                                              |         15 |        292 |         15 |         47 |        354 |
| Application\Abstractions\SignalR                                                                                                                                   |          4 |         41 |          7 |          9 |         57 |
| Application\Auth                                                                                                                                                   |          6 |        178 |          6 |         28 |        212 |
